Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,11,1,1988-04-28,CHI,,CLE,W 104-93,*,44:00,19,35,.543,0,0,,19,35,.543,.543,12,12,1.000,1,6,7,2,2,2,5,3,50,34.2
2,12,2,1988-05-01,CHI,,CLE,W 106-101,*,44:00,24,45,.533,0,0,,24,45,.533,.533,7,7,1.000,3,3,6,3,4,1,1,4,55,40.3
3,13,3,1988-05-03,CHI,@,CLE,L 102-110,*,44:00,12,25,.480,0,0,,12,25,.480,.480,14,15,.933,2,3,5,9,2,1,4,5,38,30.2
4,14,4,1988-05-05,CHI,@,CLE,L 91-97,*,42:00,18,25,.720,0,0,,18,25,.720,.720,8,9,.889,2,3,5,4,4,2,4,6,44,37.4
5,15,5,1988-05-08,CHI,,CLE,W 107-101,*,43:00,12,22,.545,0,0,,12,22,.545,.545,15,18,.833,1,3,4,6,2,2,7,4,39,27.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,6,1988-05-10,CHI,@,DET,L 82-93,*,40:00,10,22,.455,0,1,.000,10,21,.476,.455,9,10,.900,5,6,11,6,0,1,5,4,29,20.8
7,17,7,1988-05-12,CHI,@,DET,W 105-95,*,44:00,14,22,.636,0,0,,14,22,.636,.636,8,10,.800,4,7,11,1,1,1,2,5,36,28.7
8,18,8,1988-05-14,CHI,,DET,L 79-101,*,38:00,8,20,.400,0,0,,8,20,.400,.400,8,9,.889,1,6,7,3,1,1,5,3,24,12.9
9,19,9,1988-05-15,CHI,,DET,L 77-96,*,45:00,11,22,.500,0,0,,11,22,.500,.500,1,2,.500,2,5,7,5,6,0,3,0,23,21.0
10,20,10,1988-05-18,CHI,@,DET,L 95-102,*,43:00,10,22,.455,1,2,.500,9,20,.450,.477,4,7,.571,2,6,8,8,2,0,3,4,25,18.6
,,,,,,,4-6,10,427,138,260,.531,1,3,.333,137,257,.533,.533,86,99,.869,23,48,71,47,24,11,39,38,363,27.2
